8,1.56,0,60,3,0.004965665
8,0.84,0,150,6,0.006011068
8,0.68,-6.3,100,9,0.01368
8,1.48,2.86,100,24,0.001003175
8,3.48,4.75,100,24,0.01645
8,0.6,-6.3,120,24,0.02184
8,3.64,4.75,100,24,0.01435
8,2.12,1.35,120,24,0.016732527
8,2.68,-3,60,24,0.020524271
8,1.16,0,60,24,0.015419696
8,0.28,-3,40,48,0.02350962
8,1.64,-1.37,80,48,0.034034921
8,2.04,-1.37,80,48,0.015819048
8,1.96,4.75,100,48,0.01365
8,0.52,-6.3,100,48,0.00888
8,3.24,4.75,40,48,0.02905
8,2.2,2.86,25,48,0.025748148
8,2.76,-6.3,120,48,0.0204
8,2.28,0,40,72,0.011760785
8,2.52,1.35,40,72,0.014792524
8,2.84,-6.3,150,72,0.00504
8,0.44,4.75,100,72,0.00455
8,2.44,-3,120,72,0.001865843
8,3.96,2.86,25,72,0.031098413
8,1,-3,120,72,0.000373169
8,1.4,1.35,40,96,0.012852521
8,3.32,1.35,150,96,0.019157531
8,0.12,2.86,40,96,0.027085714
8,3.08,-3,120,96,0.0130609
8,3.4,-3,100,96,0.035451014
8,0.2,-6.3,120,96,0.00264
8,1.72,-6.3,80,96,0.00216
8,2.36,-3,25,120,0.011568226
8,3.56,-3,150,120,0.025002294
8,1.24,0,80,120,0.019601309
8,0.92,4.75,80,120,0.03045
8,3,1.35,60,120,0.015762525
8,1.8,-1.37,80,120,0.012942857
8,1.88,4.75,100,120,0.01785
8,0.76,0,25,144,0.007579173
8,3.88,0,120,168,0.00653377
8,0.36,0,120,168,0.011238084
8,2.6,2.86,120,144,0.002340741
8,1.08,0,80,144,0.003920262
8,3.72,-3,80,144,0.036197351
8,3.16,-6.3,40,144,0.01752
8,2.92,-1.37,40,168,0.047457143
8,1.32,-6.3,40,168,0.02136
8,0.04,-1.37,150,168,0.023488889
8,3.8,-6.3,80,168,0.00408
8,0.3,-1.37,40,6.3,0.047936508
8,0.6,-3,25,24,0.024255957
8,3.4,4.75,100,24,0.0315
8,2.5,-3,25,24,0.022390114
8,3.9,0,100,24,0.014374293
8,0.8,2.86,60,48,0.018391534
8,2.1,-6.3,150,48,0.0024
8,3.6,-1.37,100,48,0.047936508
8,2.9,1.35,60,72,0.00606251
8,0.1,-6.3,80,72,0.0012
8,3.1,2.86,120,72,0.006687831
8,0.5,2.86,100,96,0.006687831
8,1.9,-6.3,100,120,0.0204
8,1.5,0,120,120,0.024828324
8,1.3,-6.3,80,144,0.0024
8,4,-6.3,100,144,0.0072
8,1.2,0,120,144,0.011760785
8,1,4.75,40,144,0.01225
8,2.7,1.35,150,144,0.019400031
8,4,-3,25,144,0.016792586
